"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y", "h"
1, -1.000000000000000e+01, 0.000000000000000e+00, 5.936343901540975e-01, 1.187268780308195e+00, 6.935082255644584e-21, -1.223277967105307e-07, 0.000000000000000e+00
201, -9.999802608561371e+00, 6.283143965558952e-02, 5.937223909870046e-01, 1.187444781974009e+00, 2.156749507735398e-09, 3.432528280684922e-07, 0.000000000000000e+00
202, -9.999210442038160e+00, 1.256603988335261e-01, 5.938358229259862e-01, 1.187671645851972e+00, 9.658509831150642e-09, 7.685593333673074e-07, 0.000000000000000e+00
203, -9.998223523808090e+00, 1.884843971540817e-01, 5.936837122767322e-01, 1.187367424553464e+00, 2.354966475832305e-08, 1.249200547736994e-06, 0.000000000000000e+00
204, -9.996841892833000e+00, 2.513009544333748e-01, 5.932240053818340e-01, 1.186448010763668e+00, 3.973298587560430e-08, 1.580592396174348e-06, 0.000000000000000e+00
205, -9.995065603657316e+00, 3.141075907812829e-01, 5.927882723742502e-01, 1.185576544748500e+00, 5.706881995562863e-08, 1.815959295861340e-06, 0.000000000000000e+00
206, -9.992894726405892e+00, 3.769018266993454e-01, 5.922885722601215e-01, 1.184577144520243e+00, 7.744069369993563e-08, 2.053204959125940e-06, 0.000000000000000e+00
207, -9.990329346781246e+00, 4.396811831786490e-01, 5.919017817539116e-01, 1.183803563507823e+00, 1.069990838524876e-07, 2.431207266505915e-06, 0.000000000000000e+00
208, -9.987369566060174e+00, 5.024431817976955e-01, 5.914892400156971e-01, 1.182978480031394e+00, 1.429889162126575e-07, 2.842277896890314e-06, 0.000000000000000e+00
209, -9.984015501089750e+00, 5.651853448202452e-01, 5.909897098722173e-01, 1.181979419744435e+00, 1.877146524742487e-07, 3.315984777845694e-06, 0.000000000000000e+00
210, -9.980267284282716e+00, 6.279051952931336e-01, 5.903727769323694e-01, 1.180745553864739e+00, 2.469765691272422e-07, 3.925580153376472e-06, 0.000000000000000e+00
211, -9.976125063612253e+00, 6.906002571440578e-01, 5.896187192793517e-01, 1.179237438558703e+00, 3.030508258038889e-07, 4.377746616187117e-06, 0.000000000000000e+00
212, -9.971589002606139e+00, 7.532680552793271e-01, 5.886019311256186e-01, 1.177203862251237e+00, 3.574478566602927e-07, 4.731812389359052e-06, 0.000000000000000e+00
213, -9.966659280340298e+00, 8.159061156815752e-01, 5.876187259036755e-01, 1.175237451807351e+00, 4.198943635104850e-07, 5.129198046699439e-06, 0.000000000000000e+00
214, -9.961336091431725e+00, 8.785119655074315e-01, 5.866217634167865e-01, 1.173243526833573e+00, 4.881767262375287e-07, 5.535374170183944e-06, 0.000000000000000e+00
215, -9.955619646030801e+00, 9.410831331851430e-01, 5.853833898591759e-01, 1.170766779718352e+00, 5.631168763479622e-07, 5.957154303898103e-06, 0.000000000000000e+00
216, -9.949510169813001e+00, 1.003617148512149e+00, 5.840379922181937e-01, 1.168075984436387e+00, 6.518751457733968e-07, 6.462462704961977e-06, 0.000000000000000e+00
217, -9.943007903969988e+00, 1.066111542752599e+00, 5.828668074038333e-01, 1.165733614807667e+00, 7.501774643770635e-07, 6.996472844129434e-06, 0.000000000000000e+00
218, -9.936113105200084e+00, 1.128563848734816e+00, 5.814694319183608e-01, 1.162938863836722e+00, 8.520274865621222e-07, 7.501428904278983e-06, 0.000000000000000e+00
219, -9.928826045698138e+00, 1.190971600948697e+00, 5.800293779196336e-01, 1.160058755839267e+00, 9.504248193038050e-07, 7.923448966259156e-06, 0.000000000000000e+00
220, -9.921147013144779e+00, 1.253332335643042e+00, 5.785692617539039e-01, 1.157138523507808e+00, 1.075915288490677e-06, 8.516746474372286e-06, 0.000000000000000e+00
221, -9.913076310695066e+00, 1.315643590922825e+00, 5.772132073539706e-01, 1.154426414707941e+00, 1.217169783758720e-06, 9.171098489530976e-06, 0.000000000000000e+00
222, -9.904614256966513e+00, 1.377902906846380e+00, 5.752783078608962e-01, 1.150556615721792e+00, 1.295932276289507e-06, 9.315394601479610e-06, 0.000000000000000e+00
223, -9.895761186026510e+00, 1.440107825522521e+00, 5.728199678580191e-01, 1.145639935716038e+00, 1.369012739609852e-06, 9.407228328124303e-06, 0.000000000000000e+00
224, -9.886517447379141e+00, 1.502255891207570e+00, 5.703849002152336e-01, 1.140769800430467e+00, 1.466564852497963e-06, 9.651630648809490e-06, 0.000000000000000e+00
225, -9.876883405951379e+00, 1.564344650402308e+00, 5.677140453791125e-01, 1.135428090758225e+00, 1.589388586835592e-06, 1.003500459753999e-05, 0.000000000000000e+00
226, -9.866859442078681e+00, 1.626371651948836e+00, 5.650753424560735e-01, 1.130150684912147e+00, 1.740889762049976e-06, 1.056161706072374e-05, 0.000000000000000e+00
227, -9.856445951489981e+00, 1.688334447127338e+00, 5.628130364624410e-01, 1.125626072924882e+00, 1.903701356606904e-06, 1.111375152067744e-05, 0.000000000000000e+00
228, -9.845643345292054e+00, 1.750230589752760e+00, 5.607195551770479e-01, 1.121439110354096e+00, 2.046415656757343e-06, 1.151178525310884e-05, 0.000000000000000e+00
229, -9.834452049953297e+00, 1.812057636271373e+00, 5.586116662447739e-01, 1.117223332489548e+00, 2.221332309502036e-06, 1.205567949249077e-05, 0.000000000000000e+00
230, -9.822872507286887e+00, 1.873813145857246e+00, 5.563840273454400e-01, 1.112768054690880e+00, 2.440506660025740e-06, 1.279358394278299e-05, 0.000000000000000e+00
231, -9.810905174433341e+00, 1.935494680508602e+00, 5.536702119369246e-01, 1.107340423873849e+00, 2.583496797255059e-06, 1.309558861182878e-05, 0.000000000000000e+00
232, -9.798550523842469e+00, 1.997099805144070e+00, 5.506809193152508e-01, 1.101361838630502e+00, 2.753002339464375e-06, 1.350730316332426e-05, 0.000000000000000e+00
233, -9.785809043254721e+00, 2.058626087698813e+00, 5.476828699614126e-01, 1.095365739922825e+00, 3.039827376663109e-06, 1.445001130134202e-05, 0.000000000000000e+00
234, -9.772681235681935e+00, 2.120071099220546e+00, 5.450716917268102e-01, 1.090143383453620e+00, 3.285258793857476e-06, 1.514373125547252e-05, 0.000000000000000e+00
235, -9.759167619387474e+00, 2.181432413965425e+00, 5.419220143389559e-01, 1.083844028677912e+00, 3.435142279818257e-06, 1.536794314165873e-05, 0.000000000000000e+00
236, -9.745268727865771e+00, 2.242707609493811e+00, 5.388507870671162e-01, 1.077701574134232e+00, 3.611409346405421e-06, 1.569270751927732e-05, 0.000000000000000e+00
237, -9.730985109821265e+00, 2.303894266765905e+00, 5.355535862627239e-01, 1.071107172525448e+00, 3.765768704452380e-06, 1.590552123795997e-05, 0.000000000000000e+00
238, -9.716317329146740e+00, 2.364989970237246e+00, 5.318392639082101e-01, 1.063678527816420e+00, 3.838490390772313e-06, 1.577004180609152e-05, 0.000000000000000e+00
239, -9.701265964901060e+00, 2.425992307954074e+00, 5.286491169911978e-01, 1.057298233982396e+00, 3.950925698064462e-06, 1.579930030231967e-05, 0.000000000000000e+00
240, -9.685831611286313e+00, 2.486898871648547e+00, 5.252826043532445e-01, 1.050565208706489e+00, 4.151597590728129e-06, 1.616940505303240e-05, 0.000000000000000e+00
241, -9.670014877624350e+00, 2.547707256833821e+00, 5.212147789708835e-01, 1.042429557941767e+00, 4.394463019228722e-06, 1.667951553740067e-05, 0.000000000000000e+00
242, -9.653816388332739e+00, 2.608415062898969e+00, 5.168758691127615e-01, 1.033751738225523e+00, 4.641871667566413e-06, 1.717969559916831e-05, 0.000000000000000e+00
243, -9.637236782900096e+00, 2.669019893203755e+00, 5.139128130489667e-01, 1.027825626097933e+00, 4.982976791693607e-06, 1.799242011928431e-05, 0.000000000000000e+00
244, -9.620276715860859e+00, 2.729519355173252e+00, 5.107044879865517e-01, 1.021408975973103e+00, 5.356918820595338e-06, 1.888062867217025e-05, 0.000000000000000e+00
245, -9.602936856769430e+00, 2.789911060392292e+00, 5.066950122450485e-01, 1.013390024490097e+00, 5.583549060948778e-06, 1.921870192572669e-05, 0.000000000000000e+00
246, -9.585217890173759e+00, 2.850192624699761e+00, 5.023710849368599e-01, 1.004742169873720e+00, 5.896960462347456e-06, 1.983151960730939e-05, 0.000000000000000e+00
247, -9.567120515588305e+00, 2.910361668282718e+00, 4.985363957514732e-01, 9.970727915029465e-01, 6.166289948077283e-06, 2.027020892634348e-05, 0.000000000000000e+00
248, -9.548645447466429e+00, 2.970415815770349e+00, 4.936708972547034e-01, 9.873417945094068e-01, 6.326355510267039e-06, 2.033658904637154e-05, 0.000000000000000e+00
249, -9.529793415172188e+00, 3.030352696327739e+00, 4.896365509462604e-01, 9.792731018925207e-01, 6.687310808119704e-06, 2.103012318719738e-05, 0.000000000000000e+00
250, -9.510565162951536e+00, 3.090169943749474e+00, 4.864045487051726e-01, 9.728090974103452e-01, 6.974745706506560e-06, 2.146606003690101e-05, 0.000000000000000e+00
251, -9.490961449902946e+00, 3.149865196553047e+00, 4.824077316366186e-01, 9.648154632732372e-01, 7.008468441426956e-06, 2.111744460468760e-05, 0.000000000000000e+00
252, -9.470983049947444e+00, 3.209436098072094e+00, 4.773370969838196e-01, 9.546741939676392e-01, 7.151165670551559e-06, 2.110294979664725e-05, 0.000000000000000e+00
253, -9.450630751798048e+00, 3.268880296549424e+00, 4.718813712488703e-01, 9.437627424977405e-01, 7.495334684656430e-06, 2.166969544299417e-05, 0.000000000000000e+00
254, -9.429905358928645e+00, 3.328195445229865e+00, 4.665093471365014e-01, 9.330186942730028e-01, 7.860578034064826e-06, 2.227168089961272e-05, 0.000000000000000e+00
